"tentacular"	"(thuộc) tua sờ, mấu sờ, tay sờ, tay cuốn"
"tentaculiferous"	"(có) tua sờ,  mấu sờ,  tay sờ,  tay cuốn"
"tentaculiform"	"(có) dạng tua sờ,  dạng tay sờ"
"tentaculum"	"tua sờ, mấu sờ, tay sờ, tay cuốn"
"tentorium"	"lều"
"tentorium"	"khung sọ"
"teosinte"	"cây ngô dại (Zea diploperennis)"
"tepal"	"cánh hoa"
"teratogen"	"tác nhân gây quái thai"
"teratology"	"quái  thai  học"
"teratoma"	"u quái"
"terebrate"	"(có) dùi đẻ trứng"
"terete"	"(có) dạng ống trứng"
"tergal"	"(thuộc) mặt lưng, mảnh lưng, tấm lưng"
"tergum"	"mặt lưng, mảnh lưng, tấm lưng"
"teratogen"	"tác nhân gây quái thai"
"terminal bud"	"chồi đỉnh"
"terminal deoxynucleotidyl transferase"	"transferaza deoxynucleotit tận cùng"
"termitarium"	"tổ mối"
"ternate"	"(có) mẫu ba"
"terpenoids"	"terpenoit"
"terminal transferase"	"transferaza điểm cuối"
"termination codon"	"codon chặn cuối (gen)"
"terminator"	"nhân tố kết thúc"
"terminator cassette"	"casset kết thúc"
"terminator sequence"	"trình tự kết thúc"
"terpenes"	"terpen (hóa chất từ thực vật, tạo hương vị cho thịt cá, khi cá ăn)"
"terpenoids"	"terpenoid"
"terrestrial communities"	"quần xã trên cạn"
"territory"	"lãnh thổ"
"tertiary structure"	"cấu trúc bậc ba"
"tertiary thickening"	"hóa dày cấp ba"
"tertiary wall"	"vách cấp ba"
"test"	"vỏ hạt, vỏ, bộ xương ngoài, vỏ giáp, mai"
"testa"	"vỏ hạt"
"testa"	"vỏ, bộ xương ngoài, vỏ giáp, mai"
"testacean"	"(thuộc) vỏ hạt, vỏ, bộ xương ngoài, vỏ giáp, mai"
"testaceous"	"(có) vỏ hạt,  vỏ,  bộ xương ngoài,  vỏ giáp,  mai"
"testcross"	"phép lai chéo"
"testes"	"(các) tinh hoàn"
"testis"	"tinh hoàn"
"testicular"	"(thuộc) tinh hoàn"
"testicular feminization"	"sự nữ hoá tinh hoàn"
"testosterone"	"kích tố sinh dục đực, testosteron"
"tetanic contraction"	"co cứng cơ"
"tetanus"	"(bệnh) uốn ván,  co cứng cơ"
"tetanus antitoxin"	"kháng độc tố uốn ván"
"tetanus toxin"	"độc tố uốn ván"
"tetrad"	"thể tứ phân, tứ phân bào tử"
"tetrad"	"bộ bốn"
"tetracycline (tc)"	"tetracyclin"
"tetrad analysis"	"phân tích bộ bốn"
"tetradactyl"	"bốn ngón"
"tetragonous"	"bốn góc, bốn cạnh"
"tetrahydrofolic acid"	"axit tetrahydrofolic"
"tetramerous"	"bốn phần, (có) mẫu bốn"
"tetraparental chimera"	"quái thai bốn bố mẹ, thể khảm bốn bố mẹ"
"tetraploid"	"tứ bội, thể tứ bội"
"tetrapod"	"bốn chân"
"tetrapterous"	"bốn cánh"
"tetrarch"	"bốn bó sơ cấp, bốn bó nguyên mộc"
"tetrasornic"	"thể bốn"
"tetrasporophyte"	"thể tứ bào tử"
"texture"	"cấu trúc, kiến tạo"
"TG"	"triglycerid"
"TGA"	"cơ quan chính phủ Australia phê duyệt các sản phẩm thuốc"
"TGF"	"biến nạp nhân tố sinh trưởng (Transforming Growth Factor)"
"thalamic nuclei"	"nhân đồi thị"
"thalamus"	"đế hoa"
"thalamus"	"đồi thị"
"thalassaemia"	"(bệnh) thiếu máu vùng biển, thalassaemia"
"thalassophyte"	"thực vật biển, tảo biển"
"Thale Cress"	"Arabidopsis thaliana"
"thalloid"	"(có) tản"
"thallus"	"tản"
"thanatoid"	"gây chết"
"thanatosis"	"(trạng thái) chết giả"
"Thebesian valve"	"van Thebesian"
"theca"	"áo, vỏ"
"theca"	"bao gân"
"theca"	"vách chồi san hô"
"theca extena"	"ổ bào tử ngoài"
"theca interna"	"ổ bào tử trong"
"thecal"	"(thuộc) áo, vỏ, bao gân, vách chồi san hô"
"thecal cells"	"tế bào áo"
"thecate"	"(có) áo,  vỏ,  bao gân,  vách chồi san hô"
"thecodont"	"(có) răng trong huyệt,  răng trong ổ"
"thelytoky"	"(tính) sinh sản toàn cái"
"thematic apperception test"	"trắc nghiệm nhận thức theo chủ đề"
"theory of evolution by natural selection"	"học thuyết tiến hoá chọn lọc tự nhiên"
"theory of games"	"lý thuyết trò chơi"
"the pill"	"viên tránh thai"
"Theria"	"phân lớp Thú bậc cao"
"thermal conductivity"	"tính ttuyền dẫn nhiệt"
"thermal death point"	"điểm chết nhiệt"
"thermal hysteresis proteins"	"protein trễ nhiệt"
"thermoduric"	"bền nhiệt"
"thermodynamics"	"nhiệt động lực học"
"thermogenesis"	"(sự) sinh nhiệt"
"thermolysis"	"(sự) mất thân nhiệt, toả nhiệt"
"thermonasty"	"(tính) ứng động nhiệt"
"thermoperiodicism"	"(hiện tượng) chu kỳ nhiệt"
"thermophil"	"ưa nhiệt, ưa nóng"
"thermophilic"	"ưa nhiệt, ưa nóng"
"thermophilic bacteria"	"vi khuẩn ưa nhiệt"
"thermophilous"	"ưa nhiệt, ưa nóng"
"thermophyllous"	"(có) lá ưa nóng, (có) lá ưa nhiệt"
"thermoreceptor"	"cơ quan cảm nhận nhiệt"
"thermoregulation"	"(sự) điều hoà nhiệt độ"
"thermoregulatory effectors"	"hiệu quả điều hoà nhiệt"
"thermotolerant"	"chịu nhiệt, chịu nóng"
"therophyte"	"cây một vụ, cây một năm"
"thiamin"	"thiamin"
"thick filament"	"sợi dày"
"thiessen polygons"	"đa giác Thiesen"
"thigmocyte"	"tiểu cầu"
"thigmotropism"	"(tính) hướng tiếp xúc"
"thin filament"	"sợi mỏng"
"thioesterase"	"thioesteraza"
"thiol group"	"nhóm thiol"
"thioredoxin"	"thioredoxin"
"third ventricle"	"não thất III"
"thirst"	"(sự) khát"
"thoracic"	"(thuộc) ngực, đốt ngực"
"thoracic duct"	"ống ngực"
"thorn"	"gai"
"threat behaviour"	"tập tính cảnh cáo, tính đe doạ threatened species loài bị đe doạ"
"threonine"	"threonin"
"threshold"	"ngưỡng, bậc, thềm"
"thrombin"	"trombin"
"thrombocyte"	"tiểu cầu"
"thrombolytic agents"	"tác nhân làm tan cục (máu) nghẽn"
"thrombomodulin"	"chất điều biến nghẽn mạch"
"thrombosis"	"(sự) nghẽn mạch, tắc mạch"
"thrombus"	"cục nghẽn"
"thrum"	"hoa tơ"
"Thy 1 antigen"	"kháng nguyên Thy 1"
"thylakoid"	"thylacoit"
"thymic epithelial cells"	"(các) tế bào biểu mô tuyến ức"
"thymic hypoplasia"	"thiểu sản tuyến ức, suy sản tuyến ức"
"thymine"	"thymin"
"thymocyte"	"tế bào tuyến ức, ức bào, thymo bào"
"thymine (thy)"	"thymin"
"thymoleptics"	"thymoleptics (nhóm thuốc ảnh hưởng đến cảm giác và hành vi)"
"thymoma"	"u tuyến ức"
"thymopoietin"	"thymopoietin"
"thymosins"	"thymozin"
"thymus"	"tuyến ức"
"thymus derived cells"	"(các) tế bào nguồn gốc tuyến ức"
"thymus independent antigen"	"kháng nguyên không phụ thuộc tuyến ức"
"thymus dependent antigen"	"kháng nguyên phụ thuộc tuyến ức"
"thymus dependent area"	"vùng phụ thuộc tuyến ức"
"thyroid gland"	"tuyến giáp"
"thyroid hormone"	"hormon tuyến giáp"
"thyroid stimulating hormone (TSH)"	"hormon kích thích tuyến giáp"
"thyroid-stimulating antibodies"	"kháng thể kích thích tuyến giáp"
"thyroid-stimulating hormon"	"hormon kích thích tuyến giáp"
"thyroiditis"	"viêm tuyến giáp"
"thyrotoxicosis"	"bệnh nhiễm độc tuyến giáp"
"Thysanoptera"	"bộ Đuôi tơ"
"TI"	"viết tắt của Trypsin Inhibitor"
"Ti plasmid"	"plasmid Ti"
"tibia"	"xương chày"
"tibia"	"đốt chày, đốt ống"
"ticks"	"ve, bét, tíc"
"tidal cycle"	"chu kỳ thuỷ triều"
"tidal movement"	"vận động triều"
"tidal volume"	"thể tích hô hấp, dung tích hô hấp"
"tight junction"	"đầu nối chặt"
"TIL cells"	"(các) tế bào lọc khối u"
"tiller"	"chồi gốc, nhánh gốc"
"timber line"	"dải rừng, đỉnh núi"
"Tinamiformes"	"bộ Gà-Đà điểu"
"t-IND"	"xem Treatment Investigational New Drug Application"
"t-IND treatment"	"xem t-IND"
"T-independent antigene"	"kháng nguyên không phụ thuộc T"
"tirf microscopy tissue"	"mô"
"tissue array"	"dàn mô"
"tissue culture"	"nuôi cấy mô"
"tissue engineering"	"kỹ thuật (sửa) mô"
"tissue plasminogen activator (TPA)"	"chất hoạt hoá mô sinh plasmin"
"tissue specific antigen"	"kháng nguyên đặc hiệu mô"
"tissue tensions"	"sức căng của mô"
"tissue typing"	"định typ mô, định typ tổ chức"
"titin"	"thụ thể trợ lực"
"titre"	"hiệu giá, độ chuẩn"
"TKI"	"viết tắt của Tyrosine Kinase Inhibitors"
"TLR"	"xem toll-like receptors"
"Tm"	"Tm, nhiệt độ nửa biến tính"
"Tmaze"	"mê lộ T"
"TME (true metabolizable energy)"	"năng lượng thật có khả năng chuyển hoá"
"TMEn"	"xem TME"
"TMV"	"viết tắt của Tobacco Mosaic Virus"
"TNF"	"viết tắt của Tumor Necrosis Factor"
"tobacco budworm"	"sâu chồi thuốc lá (Heliothis virescens)"
"tobacco hornworm"	"sâu sừng thuốc lá (Manduca sexta)"
"Tobacco mosaic virus"	"virut khảm thuốc lá"
"tocopherols"	"tocopherol"
"tocotrienols"	"tocotrienol"
"tolerance"	"(sự) chịu đựng"
"tolerance range"	"biên độ dung nạp, biên độ chịu đựng"
"tolerogen"	"tác nhân chịu đựng"
"toll-like receptors"	"thụ quan toll-like"
"tomato"	"cà chua"
"tomato fruitworm"	"sâu đục quả cà chua"
"tomentose"	"(có) lông măng,  lông"
"tơ tomentum"	"lông bông"
"tone"	"trương lực"
"tongue"	"lưỡi"
"tongue"	"vòi, vòi hút, bàn mài, lưỡi nạo, thìa lìa, mảnh lưỡi"
"tonicity"	"trương lực"
"tonofilament"	"tơ biểu bì, tơ trương lực"
"tonoplast"	"màng không bào"
"tonsils"	"hạnh nhân, amiđan"
"tooth"	"răng"
"tooth"	"răng hầu"
"tooth"	"răng cưa"
"top yeast"	"nấm men váng"
"topotaxis"	"chuyển theo hướng"
"topotype"	"vật mẫu cùng địa điểm gốc"
"tornaria"	"ấu trùng tornaria"
"torsion"	"(sự) vặn, xoắn"
"torus"	"màng núm"
"torus"	"nếp chân bên"
"TOS"	"xem Transgalacto-Oligosaccharides"
"total internal reflecton fluorescence"	"tổng huỳnh quang phản xạ bên trong"
"total lung capacity"	"tổng thể tích phổi"
"totipotency"	"(tính) toàn năng"
"totipotent stem cells"	"(các) tế bào gốc toàn năng"
"touch"	"xúc giác bên ngoài"
"touchwood"	"củi dẫn lửa"
"toxic substances control act (TSCA)"	"đạo luật kiểm soát chất độc"
"toxicogenomics"	"hệ gen độc tố học"
"toxicology"	"độc chất học, độc tố học"
"toxigenic E. coli"	"E. coli sinh độc tố"
"toxin"	"độc tố, chất độc, toxin"
"toxoid"	"nhược độc tố, giải độc tố"
"TPS"	"hệ thống bảo vên công nghệ (Technology Protection System)"
"trabecula"	"thớ vách, tơ vách"
"trace element"	"yếu tố vi lượng"
"tracer (radioactive isotopic method)"	"(phép) phát hiện vết"
"trachea"	"khí quản, ống khí"
"tracheal gills"	"màng khí quản, màng ống khí"
"tracheal pits"	"lỗ khí quản"
"tracheal receptor"	"thụ thể khí quản"
"tracheal system"	"hệ khí quản, hệ ống khí"
"tracheary elements"	"(các) yếu tố ống dẫn"
"tracheid(e)"	"quản bào, tế bào ống"
"trachelate"	"(có) cổ hẹp"
"tracheole"	"khí quản nhỏ, vi khí quản"
"tracheophyte"	"thực vật có mạch"
"tract"	"ống, bó, dải"
"traditional breeding methods"	"(các) phương pháp chọn giống truyền thống"
"traditional breeding techniques"	"(các) kỹ thuật chọn giống truyền thống"
"tragus"	"gờ loa tai"
"trail endings"	"đoạn kết"
"trailer sequence"	"trình tự dẫn, đoạn dẫn"
"training"	"(sự) huấn luyện, đào tạo"
"training"	"rèn luyện"
"trait"	"nét, dấu hiệu, tính trạng"
"trance"	"(trạng thái) lên đồng"
"trans fatty acids"	"axit béo trans"
"trans-acting element"	"yếu tố tác động vận chuyển trans-acting protein protein tác động vận chuyển"
"trans-sexualism"	"(sự) chuyển giới, chuyển đổi giới tính"
"transactivating protein"	"protein hoạt hoá vận chuyển"
"transactivation"	"hoạt hoá vận chuyển"
"transaminase"	"transaminaza"
"transamination"	"(sự) chuyển amin"
"transcribing genes"	"(các) gen phiên mã"
"transcript"	"sản phẩm phiên mã"
"transcriptase"	"transcriptaza"
"transcription"	"phiên mã"
"transcription activators"	"tác nhân hoạt hoá phiên mã"
"transcription complex"	"phức hệ phiên mã"
"transcription controlling fragment"	"đoạn kiểm soát phiên mã"
"transcription factor binding site"	"điểm bám nhân tố phiên mã"
"transcription factors"	"yếu tố phiên mã"
"transcription factors"	"nhân tố phiên mã"
"transcription terminator"	"điểm kết thúc phiên mã"
"transcription unit"	"đơn vị phiên mã"
"transcriptional activation domain"	"vùng hoạt hoá phiên mã"
"transcriptional activator"	"nhân tố hoạt hoá phiên mã"
"transcriptional control"	"(sự) kiểm soát phiên mã"
"transcriptional profiling"	"định hình phiên mã"
"transcriptional repressor"	"nhân tố ức chế phiên mã"
"transcriptional unit"	"đơn vị phiên mã"
"transcriptionally-active chromatin"	"cromatin có hoạt tính sao chép, cromatin có hoạt tính phiên mã"
"transcriptome"	"hệ sản phẩm phiên mã, tổng sản phẩm phiên mã"
"transdetermination"	"sự chuyển xác định"
"transdifferentiation"	"sự chuyển biệt hoá"
"transduction"	"(sự) tải nạp"
"transect"	"hàng cây đánh dấu, dải cây đánh dấu"
"transfection"	"(sự) gây nhiễm"
"transfer cell"	"tế bào chuyền"
"transfer factor"	"yếu tố chuyển, nhân tố chuyển"
"transfer of training"	"chuyển biến trong rèn luyện, chuyển biến trong đào tạo"
"transfer RNA (tRNA)"	"ARN vận chuyển (tARN)"
"transferase"	"transferaza"
"transference"	"(sự) chuyển dịch"
"transferred DNA"	"ADN chuyển đi"
"transferrin"	"transferrin"
"transferrin receptor"	"thụ quan transferrin"
"transformant"	"thể biến nạp"
"transformant line"	"con đường biến nạp"
"transformation"	"biến nạp"
"transformation"	"(sự) biến nạp"
"transformation"	"(sự) chuyển hoá"
"transforming growth factor-alpha (tgf-alpha)"	"biến nạp nhân tố sinh trưởng alpha"
"transforming growth factor-beta (tgf-beta)"	"biến nạp nhân tố sinh trưởng beta"
"transfusion reaction"	"phản ứng truyền máu"
"transfusion tissue"	"mô dẫn, mô truyền"
"transgalacto-oligosaccharides"	"transgalacto-oligosaccharid"
"transgene"	"gen chuyển"
"transgenic"	"chuyển gen"
"transgenic"	"(thuộc) chuyển gen"
"transgenic cells"	"(các) tế bào chuyển gen"
"transgenic organism"	"sinh vật chuyển gen"
"transgressive segregants"	"(các) thể phân ly sai"
"transgressive segregation"	"phân ly sai"
"transit peptide"	"peptid chuyển tiếp"
"transition"	"đồng hoán"
"transition region"	"vùng đồng hoán"
"transition state"	"trạng thái đồng hoán"
"transitional epithelium"	"biểu mô chuyển tiếp"
"transitional object"	"vật qua độ, vật chuyển tiếp"
"translation"	"(sự) dịch mã"
"translation control"	"điều khiển sự dịch mã"
"translational repression"	"ức chế dịch mã"
"translocated herbicide"	"(thuộc) diệt cỏ lan truyền"
"translocated injury"	"thương tổn lây lan"
"translocation"	"chuyển đoạn, đoạn chuyển, chuyển dịch"
"translocation of chromosomal segments"	"chuyển đoạn nhiễm sắc thể"
"transmission electron microscope"	"kính hiển vi điện tử truyền qua"
"transmission electron microscope"	"kính hiển vi điện tử truyền qua"
"transmission threshold"	"ngưỡng truyền"
"transmembrane proteins"	"protein (chuyển) qua màng"
"transpiration"	"(sự) thoát hơi nước"
"transpiration stream"	"dòng thoát hơi nước"
"transplant"	"(sự) ghép"
"transplant"	"mảnh ghép, miếng ghép"
"transplantation"	"(sự) ghép"
"transport proteins"	"protein vận chuyển"
"transport RNA"	"ARN vận chuyển"
"transport"	"sự vận chuyển"
"transport vesicle"	"túi vận chuyển"
"transport vesicles"	"nang vận chuyển"
"transposable element"	"yếu tố vận động, yếu tố chuyển vị, yếu tố di động"
"transposase"	"transposaza"
"transposition"	"(sự) nhảy, vận động"
"transposon"	"đoạn di động, gen nhảy"
"transversal"	"ngang, nằm ngang"
"transverse"	"ngang "
"transverse"	"nằm ngang "
"transversion"	"dị hoán (vị trí của gen)"
"transwitch"	"bật-tắt chéo, công tắc bật tắt chéo"
"trapezium"	"thể thang"
"trarisvestism"	"loạn dục giả trang khác giới"
"traspiration rate"	"cường độ thoát hơi nước"
"trastuzumab"	"trastuzumab (kháng thể đơn dòng chống ung thư)"
"trauma"	"chấn thương"
"trauma"	"sang chấn tâm thần"
"traumatic"	"(thuộc) chấn thương"
"traumatic neurosis"	"loạn thần kinh chấn thương"
"treatment ind"	"thuốc mới nghiên cứu thử nghiệm"
"treatment investigational new drug"	"thuốc mới nghiên cứu thử nghiệm"
"""treatment"" ind regulations"	"qui chế về “điều trị” bằng thuốc mới nghiên cứu"
"treatment system"	"hệ thống xử lý, hệ thống điều trị"
"tree"	"cây mộc, cây gỗ"
